数据条目, 资源分类, 关键字, 国家分类, 提供单位
互联网出版单位信息, 文化休闲, 互联网出版, 新闻出版, 上海市新闻出版局
网络游戏产品信息, 文化休闲, 网络游戏, 新闻出版, 上海市新闻出版局
1000万总产值规模以上印刷企业信息, 文化休闲, 印刷企业, 新闻出版, 上海市新闻出版局
版权服务工作站, 文化休闲, 版权服务, 新闻出版, 上海市新闻出版局
出版物进口经营单位信息, 文化休闲, 出版物进口经营单位, 新闻出版, 上海市新闻出版局
上海市&ldquo;早餐工程&rdquo;网点分布情况, 民生服务, 早餐, 商贸综合类, 上海市商务委员会
企业注册登记统计, 经济建设, 企业，注册登记，统计, 工商, 上海市工商行政管理局
工商不良记录, 经济建设, 工商，行政处罚, 工商, 上海市工商行政管理局
上海市水务局行政许可决定书, 资源环境, 审批、备案、许可证, 水利, 上海市水务局
水务海洋业务受理综合信息-结果公告, 资源环境, 行政审批、结果公告, 水利, 上海市水务局
水务海洋业务受理综合信息-办理状态, 资源环境, 行政审批、办理状态, 水利, 上海市水务局
水务海洋业务受理综合信息-收件公告, 资源环境, 行政审批、收件公告, 水利, 上海市水务局
交通出行信息, 道路交通, 实时交通信息、掘路占路信息、快速封路信息，, 交通运输, 上海市交通委员会
统计年鉴查询, 社会发展, 统计年鉴查询, 统计, 上海市统计局
河道水质, 资源环境, 河道水质, 水利, 上海市水务局
水资源公报, 资源环境, 公报, 水利, 上海市水务局
人才服务中心相关信息, 机构团体, 单位名称、联系地址、邮政编码、联系电话, 劳动人事综合类, 上海市人力资源和社会保障局
市社保中心各分中心相关信息, 机构团体, 单位名称、地址、联系电话、服务时间、附近交通, 劳动人事综合类, 上海市人力资源和社会保障局
医保中心相关信息, 卫生健康, 单位名称、地址、联系电话、服务时间、附近交通, 医疗保健, 上海市人力资源和社会保障局
医保定点药房, 卫生健康, 所属区县、药房名称、地址、邮政编码, 医疗保健, 上海市人力资源和社会保障局
医保定点医院, 卫生健康, 所属区县、单位名称、地址、邮政编码, 医疗保健, 上海市人力资源和社会保障局
医保药品目录, 卫生健康, 品名称、剂型、支付（比例）、限定支付及备注, 医疗保健, 上海市人力资源和社会保障局
企业基本信息查询, 经济建设, 企业税务基本信息查询，税务登记号，经营地址，法人代表，征管分局，状态, 税务, 上海市地方税务局
个人住房房产税应税及已缴税情况查询, 民生服务, 个人住房房产税应税及已缴税情况查询, 税务, 上海市地方税务局
按季纳税申报企业名单查询, 经济建设, 按季纳税申报企业名单查询, 税务, 上海市地方税务局
办税地图, 经济建设, 办税地图，对外服务窗口分布情况，名称，地址，电话, 税务, 上海市地方税务局
上海市会计从业资格考试成绩查询, 教育科技, 会计从业资格考试、会计上岗证考试, 会计, 上海市财政局
广告经营许可证查询服务应用, 经济建设, 广告经营，许可证，查询, 工商, 上海市工商行政管理局
营业执照公示查询查询服务应用, 经济建设, 企业，营业执照，公示，查询, 工商, 上海市工商行政管理局
企业工商信息, 经济建设, 企业，工商，信息, 工商, 上海市工商行政管理局
上海市中外合作办学机构/项目查询应用, 教育科技, 中外合作，办学，信息, 教育, 上海市教育委员会
上海市民办教育机构查询应用, 教育科技, 民办，教育，许可证, 教育, 上海市教育委员会
主要统计指标解释查询, 社会发展, 主要统计指标解释查询, 统计, 上海市统计局
上海市基础测绘成果, 城市建设, 上海市基础测绘成果、产品分类、产品名称、覆盖范围、更新周期、数据格式、坐标系统、单价、备注, 城乡规划, 上海市规划和国土资源管理局
上海市历史风貌保护区, 文化休闲, 上海市历史风貌保护区, 城乡规划, 上海市规划和国土资源管理局
上海市优秀历史建筑, 文化休闲, 上海市优秀历史建筑, 城乡规划, 上海市规划和国土资源管理局
土地出让公告信息, 城市建设, 土地出让公告信息、地块公告号、地块名称、四至范围、准入产业类型、土地总面积、出让面积、容积率、建筑密度、投资强度、保证金, 土地, 上海市规划和国土资源管理局
上海食用农产品流通安全情况, 民生服务, 农产品、流通、安全, 商贸综合类, 上海市商务委员会
联合国贸易网点信息, 经济建设, 联合国、贸易、网点, 商贸综合类, 上海市商务委员会
上海市停车场位置查询, 道路交通, 停车场、位置信息, 交通运输, 上海市交通运输和港口管理局
上海市轨道周边公交, 道路交通, 轨道周边、公交站点, 交通运输, 上海市交通运输和港口管理局
营业执照公示查询, 经济建设, 工商，营业执照，查询, 工商, 上海市工商行政管理局
二手房出售出租信息查询, 民生服务, 二手房, 房地产, 上海市住房保障和房屋管理局
一手房开盘成交信息查询, 民生服务, 一手房, 房地产, 上海市住房保障和房屋管理局

