数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
全市消费维权点分布数据, 机构团体, 消费维权点，地址, 工商, 业务类, 2012-11-23, 上海市工商行政管理局, 上海市肇嘉浜路301号
上海市著名商标公告数据, 民生服务, 著名商标、公告, 工商, 业务类, 2012-11-23, 上海市工商行政管理局, 上海市肇嘉浜路301号
技术合同认定登记信息, 教育科技, 科技技术合同认定登记, 科技管理, 业务类, 2015-10-27, 上海市科学技术委员会, 人民大道200号
实验动物许可证发证, 教育科技, 科技、实验动物、生产、使用、许可证, 科技管理, 业务类, 2015-10-26, 上海市科学技术委员会, 人民大道200号
著作权合同备案, 文化休闲, 著作权合同, 新闻出版, 业务类, 2015-12-23, 上海市新闻出版局, http://cbj.sh.gov.cn/govInfo/resgov/resgovpub.jsp
危化品经营许可证, 公共安全, 危化品经营许可证, 综合政务类, 机构职能, 2015-03-09, 上海市安全生产监督管理局, 10.123.9.18
检测检验机构, 公共安全, 检测检验机构, 综合政务类, 机构职能, 2015-03-09, 上海市安全生产监督管理局, 10.123.9.18
职业卫生技术服务机构, 公共安全, 职业卫生技术服务机构, 综合政务类, 机构职能, 2015-03-09, 上海市安全生产监督管理局, 10.123.9.18
中外合作职业技能培训机构信息, 社会发展, 中外合作、职业技能培训机构, 劳动人事综合类, 业务类, 2015-12-10, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
人力资源社会保障相关统计数据（年报）, 社会发展, 人力资源社会保障、统计, 劳动人事综合类, 业务类, 2015-12-09, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
人力资源社会保障相关统计数据（半年报）, 社会发展, 人力资源社会保障、统计、半年, 劳动人事综合类, 业务类, 2015-12-08, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
涉外调查许可证信息, 经济建设, 涉外调查许可证信息, 统计, 2015-07-17, 上海市统计局, 上海市威海路48号
本市当年度有效的见习基地信息, 社会发展, 见习基地、名称、地址、联系电话, 劳动人事综合类, 业务类, 2015-12-07, 上海市人力资源和社会保障局, 上海市天山路1800号1号楼
人才中介服务机构信息, 社会发展, 人才中介、单位名称、地址、联系电话, 劳动人事综合类, 业务类, 2015-12-07, 上海市人力资源和社会保障局, 上海市世博村路300号2号楼
示范性家政服务站名单, 民生服务, 示范性家政服务站名单, 综合类, 其他类, 2015-12-03, 上海市妇女联合会, 天平路245号
妇联基层组织信息表, 机构团体, 妇联基层, 综合类, 其他类, 2015-12-03, 上海市妇女联合会, 天平路245号
